URL,Pattern,Status Code,All Inlinks Rows,Backlink Rows,Referring Domains,Top Inlink Sources,Suggested Action,Notes
https://tokentopnews.com/ex-sec-gensler-hidden-crypto-stance/URL,bad_path_suffix_URL,404,1,0,0,/ex-sec-gensler-hidden-crypto-stance/ (1),410,Malformed or placeholder-derived URL with no safe canonical destination inferred.
https://tokentopnews.com/gmx-hacker-returns-fran-protocol/No%20URL%20provided,bad_path_suffix_URL,404,1,0,0,/gmx-hacker-returns-fran-protocol/ (1),410,Malformed or placeholder-derived URL with no safe canonical destination inferred.
https://tokentopnews.com/james-fickel-eth-transfer-coinbase/URL,bad_path_suffix_URL,404,1,0,0,/james-fickel-eth-transfer-coinbase/ (1),410,Malformed or placeholder-derived URL with no safe canonical destination inferred.
https://tokentopnews.com/james-wynn-46m-bitcoin-long-hyperliquid/URL,bad_path_suffix_URL,404,1,0,0,/james-wynn-46m-bitcoin-long-hyperliquid/ (1),410,Malformed or placeholder-derived URL with no safe canonical destination inferred.
https://tokentopnews.com/sam-bankman-fried-prison-term-reduction/URL,bad_path_suffix_URL,404,7,0,0,/sam-bankman-fried-prison-term-reduction/ (7),410,Malformed or placeholder-derived URL with no safe canonical destination inferred.
https://tokentopnews.com/singapore-dtsp-act-market-exodus/URL,bad_path_suffix_URL,404,1,0,0,/singapore-dtsp-act-market-exodus/ (1),410,Malformed or placeholder-derived URL with no safe canonical destination inferred.
https://tokentopnews.com/trump-federal-reserve-chair-bitcoin-downturn/URL,bad_path_suffix_URL,404,4,0,0,/trump-federal-reserve-chair-bitcoin-downturn/ (4),410,Malformed or placeholder-derived URL with no safe canonical destination inferred.
https://tokentopnews.com/trump-tariff-letter-eu-announcement/URL,bad_path_suffix_URL,404,1,0,0,/trump-tariff-letter-eu-announcement/ (1),410,Malformed or placeholder-derived URL with no safe canonical destination inferred.
https://tokentopnews.com/bitcoin-futures-open-interest-decline/Bitcoin%20Futures%20Open%20Interest%20Drops%20to%20$72.03%20Billion,encoded_title_or_source_fragment,404,1,0,0,/bitcoin-futures-open-interest-decline/ (1),410,Malformed or placeholder-derived URL with no safe canonical destination inferred.
https://tokentopnews.com/crypto-experts-petition-trump-lawsuit/**Title:**%20Cryptocurrency%20Experts%20Petition%20Trump%20to%20Abandon%20Software%20Lawsuit,encoded_title_or_source_fragment,404,1,0,0,/crypto-experts-petition-trump-lawsuit/ (1),410,Malformed or placeholder-derived URL with no safe canonical destination inferred.
https://tokentopnews.com/whale-sells-8000-eth-profits-millions/source%20URL,encoded_title_or_source_fragment,404,1,0,0,/whale-sells-8000-eth-profits-millions/ (1),410,Malformed or placeholder-derived URL with no safe canonical destination inferred.
https://tokentopnews.com/altcoin-bitcoin-decoupling-market-volatility/url_placeholder,placeholder_path_segment,404,1,0,0,/altcoin-bitcoin-decoupling-market-volatility/ (1),410,Malformed or placeholder-derived URL with no safe canonical destination inferred.
https://tokentopnews.com/us-stock-indexes-crypto-stocks-rebound/url_placeholder,placeholder_path_segment,404,2,0,0,/us-stock-indexes-crypto-stocks-rebound/ (2),410,Malformed or placeholder-derived URL with no safe canonical destination inferred.
