source_url,best_url,best_title,best_score,second_score,confidence,candidate_2_url,candidate_2_title,candidate_2_score,candidate_3_url,candidate_3_title,candidate_3_score
https://coinlineup.com/ethereum-stablecoin-supply-hits-180b-ath-up-150-in-3-years/,https://coinlineup.com/ethereum-stablecoin-supply-180b-ath/,Ethereum Stablecoin Supply Hits $180B ATH — Up 150% in 3 Years,90,20,high,https://coinlineup.com/genius-act-stablecoin-supply-debate/,"GENIUS Act Increases U.S. Stablecoin Supply, Debates Continue",20,https://coinlineup.com/plasma-stablecoin-supply-2-billion-launch/,Plasma Stablecoin Supply Reaches $2 Billion at Launch,20
https://coinlineup.com/hackers-hide-crypto-wallet-stealing-code-in-popular-ai-tool/,https://coinlineup.com/hackers-crypto-wallet-stealing-code-ai-tool/,Hackers Hide Crypto Wallet-Stealing Code in Popular AI Tool,90,20,high,https://coinlineup.com/elon-musk-xai-grok-video-tool/,Elon Musk&#8217;s xAI Launches AI Video Tool on X Platform,20,https://coinlineup.com/meituan-launches-nocode-ai-tool-beta/,Meituan Launches AI Tool &#8216;NoCode&#8217; in Beta for Non-Technical Users,20
https://coinlineup.com/intel-joins-terafab-what-it-means-for-spacex-ipo-and-bitcoin/,https://coinlineup.com/intel-terafab-spacex-ipo-bitcoin/,Intel Joins Terafab: What It Means for SpaceX IPO and Bitcoin,70,10,high,https://coinlineup.com/anthony-scaramucci-tells-bitcoin-holders-to-stay-calm/,Anthony Scaramucci Tells Bitcoin Holders to Stay Calm After BTC Slide,10,https://coinlineup.com/banks-rate-strategy-buy-274m-stock-bitcoin-purchases/,Banks Rate Strategy a Buy as It Raises $274M for Bitcoin Purchases,10
https://coinlineup.com/ledger-cto-ties-280m-drift-hack-to-north-korea-suspects/,https://coinlineup.com/ledger-cto-drift-protocol-hack-north-korea/,Ledger CTO Ties $280M Drift Hack to North Korea Suspects,90,20,high,https://coinlineup.com/arthur-hayes-solana-native-multisig-drift-hack-update/,UPDATE: Arthur Hayes Questions Whether Solana Native Multisig Could Have Prevented the Drift Hack,20,https://coinlineup.com/drift-hack-solana-insider-crypto-security-risk/,"After the $285M Drift Hack, Solana’s New Scare Points to Insider Crypto Risk",20
https://coinlineup.com/morgan-stanley-proposes-spot-bitcoin-etf-with-0-14-fee-lowest-in-market/,https://coinlineup.com/morgan-stanley-spot-bitcoin-etf-fee-014-percent/,Morgan Stanley Proposes Spot Bitcoin ETF With 0.14% Fee — Lowest in Market,110,40,high,https://coinlineup.com/crypto-news-march-26-morgan-stanley-bitcoin-etf-cftc-perpetuals-clarity-act/,"Crypto News March 26: Morgan Stanley Bitcoin ETF Imminent, CFTC Bringing Perpetuals Home, CLARITY Act Hammers Circle and Coinbase",40,https://coinlineup.com/morgan-stanley-bitcoin-etf-34m-day-one-inflows/,Morgan Stanley Bitcoin ETF Draws $34M in Day-One Inflows,40
https://coinlineup.com/panic-betting-surges-as-markets-price-in-emergency-fed-rate-hike/,https://coinlineup.com/panic-betting-markets-emergency-fed-rate-hike-war-escalation/,Panic Betting Surges as Markets Price In Emergency Fed Rate Hike,90,20,high,https://coinlineup.com/fed-governor-milan-four-rate-cuts-2026/,Fed Governor Milan Holds Firm on Four Rate Cuts in 2026: What It Means for Crypto,20,https://coinlineup.com/bessent-fed-wait-and-see-cuts-war-driven-inflation-bitcoin/,Bessent Tells Fed to Wait on Cuts as War-Driven Inflation Clouds Bitcoin,10
https://coinlineup.com/ripple-ceo-brad-garlinghouse-says-stablecoins-could-be-cryptos-business-entry-point/,https://coinlineup.com/ripple-ceo-stablecoins-crypto-business-entry-point/,Ripple CEO Brad Garlinghouse Says Stablecoins Could Be Crypto&#8217;s Business Entry Point,90,0,high,https://coinlineup.com/goldman-sachs-xrp-etf-152-million-price-downside-risk/,Goldman Sachs&#8217; $152M XRP ETF Holding Failed to Boost Prices — 50% Drop Ahead?,0,https://coinlineup.com/goliath-ventures-bankruptcy-328-million-ponzi-scheme/,Goliath Ventures Files for Bankruptcy Amid $328M Crypto Ponzi Scheme Allegations,0
https://coinlineup.com/scott-bessent-urges-congress-to-pass-clarity-act-for-crypto-rules/,https://coinlineup.com/scott-bessent-urges-congress-pass-clarity-act-crypto-rules/,Scott Bessent Urges Congress to Pass Clarity Act for Crypto Rules,90,50,high,https://coinlineup.com/congress-crypto-clarity-act-banks-deadline-midterms/,Congress Has Weeks to Pass Crypto CLARITY Act Before Midterm Window Closes,50,https://coinlineup.com/clarity-act-crypto-congress-midterms-banks/,CLARITY Act Faces Midterm Clock as Congress Races to Win Over Banks,40
https://coinlineup.com/top-crypto-to-buy-now-apemars-100-easter100-bonus-boosts-community-driven-meme-coins-hype-while-snek-and-cheems-declines/,https://coinlineup.com/top-crypto-to-buy-now-apemars-momentum-play-as-snek-and-cheems-drop/,Top Crypto to Buy Now? APEMARS 100% EASTER100 Bonus Boosts Community Driven Meme Coins Hype While SNEK and CHEEMS Declines,180,40,high,https://coinlineup.com/12-best-crypto-coins-to-watch-in-2026-apemars-presale-offers-26500-roi/,12 Best Crypto Coins: APEMARS Emerges as the Fastest-Selling Meme Coin in History &#8211; Secure Your Spot in Stage 2 Before It’s Gone!,40,https://coinlineup.com/apemars-leads-best-crypto-to-buy-now-with-xrp-ada-in-focus/,Cardano News Today &amp; Best Crypto to Buy Now: APEMARS Leads Stage 16 Opportunity With XRP in Focus,40
https://coinlineup.com/update-arthur-hayes-questions-whether-solana-native-multisig-could-have-prevented-the-drift-hack/,https://coinlineup.com/arthur-hayes-solana-native-multisig-drift-hack-update/,UPDATE: Arthur Hayes Questions Whether Solana Native Multisig Could Have Prevented the Drift Hack,120,30,high,https://coinlineup.com/drift-hack-solana-insider-crypto-security-risk/,"After the $285M Drift Hack, Solana’s New Scare Points to Insider Crypto Risk",30,https://coinlineup.com/ledger-cto-drift-protocol-hack-north-korea/,Ledger CTO Ties $280M Drift Hack to North Korea Suspects,20
https://coinlineup.com/web3-antivirus-protect-your-wallet-as-crypto-scam-losses-hit-3-1b/,https://coinlineup.com/web3-antivirus-wallet-security-crypto-scams/,Web3 Antivirus: Protect Your Wallet as Crypto Scam Losses Hit $3.1B,110,20,high,https://coinlineup.com/hackers-crypto-wallet-stealing-code-ai-tool/,Hackers Hide Crypto Wallet-Stealing Code in Popular AI Tool,20,https://coinlineup.com/us-crypto-tax-bill-stablecoin-exemption/,US Lawmakers Propose Stablecoin Tax Exemption for Small Crypto Transactions,10
